QUARTER,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,AIRPORT,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,1,2019-04-15,UA,2098,Malone,"Houston, TX",755,1018.0,143.0,9.0,7,6,7.0,0.0,0.0,0.0,130.0
2,1,2019-04-15,UA,2078,Malone,"Houston, TX",1416,1517.0,61.0,4.0,14,6,0.0,0.0,11.0,0.0,39.0
2,1,2019-04-15,UA,2010,Malone,"Chicago, IL",1700,1925.0,145.0,9.0,17,3,0.0,0.0,14.0,0.0,139.0
2,1,2019-04-15,UA,1926,Malone,"Houston, TX",1712,1752.0,40.0,2.0,17,6,14.0,0.0,4.0,0.0,26.0
2,1,2019-04-15,UA,1573,Malone,"Chicago, IL",1400,1619.0,139.0,9.0,14,3,18.0,0.0,7.0,0.0,121.0
2,1,2019-04-15,UA,1249,Malone,"Chicago, IL",2100,2144.0,44.0,2.0,21,3,0.0,0.0,5.0,0.0,32.0
2,1,2019-04-15,UA,1213,Malone,"Chicago, IL",1300,1513.0,133.0,8.0,13,3,6.0,0.0,0.0,0.0,116.0
2,3,2019-04-03,UA,1249,Malone,"Chicago, IL",2100,2249.0,109.0,7.0,21,3,0.0,0.0,0.0,0.0,88.0
2,2,2019-04-02,UA,1167,Malone,"Houston, TX",1955,2137.0,102.0,6.0,19,6,0.0,0.0,3.0,0.0,97.0
2,4,2019-04-11,AS,7,JFK,"Seattle, WA",700,718.0,18.0,1.0,7,10,0.0,0.0,0.0,0.0,15.0
2,4,2019-04-11,AS,449,JFK,"Portland, OR",720,721.0,1.0,0.0,7,10,0.0,0.0,36.0,0.0,0.0
2,4,2019-04-11,AS,647,JFK,"San Francisco, CA",1140,1230.0,50.0,3.0,11,11,50.0,0.0,2.0,0.0,0.0
2,6,2019-04-20,OO,3535,Malone,"Richmond, VA",1014,1054.0,40.0,2.0,10,2,0.0,0.0,0.0,0.0,23.0
2,6,2019-04-20,OO,3679,Malone,"Savannah, GA",1035,1214.0,99.0,6.0,10,3,0.0,94.0,0.0,0.0,2.0
2,6,2019-04-20,OO,3834,JFK,"Nashville, TN",1815,1847.0,32.0,2.0,18,4,0.0,6.0,0.0,0.0,18.0
2,6,2019-04-13,OO,3796,Malone,"Greensboro/High Point, NC",1605,1702.0,57.0,3.0,16,2,49.0,0.0,0.0,0.0,0.0
2,6,2019-04-13,OO,4890,Malone,"Richmond, VA",1610,1639.0,29.0,1.0,16,2,15.0,0.0,0.0,0.0,0.0
2,7,2019-04-14,OO,3550,JFK,"Chicago, IL",1930,2252.0,202.0,12.0,19,3,10.0,0.0,26.0,0.0,192.0
2,7,2019-04-14,OO,3604,Malone,"Milwaukee, WI",1440,1641.0,121.0,8.0,14,3,0.0,0.0,12.0,0.0,121.0
2,7,2019-04-14,OO,3607,Malone,"Milwaukee, WI",1730,1859.0,89.0,5.0,17,3,0.0,0.0,34.0,0.0,78.0
2,7,2019-04-14,OO,3638,Malone,"Milwaukee, WI",1929,2037.0,68.0,4.0,19,3,0.0,0.0,19.0,0.0,39.0
2,7,2019-04-14,OO,3670,Malone,"Greensboro/High Point, NC",1445,1712.0,147.0,9.0,14,2,0.0,0.0,61.0,0.0,101.0
